rank,_row_id,Unnamed: 0,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file,overlap,idle_time
11,1634,1634,0,0.0,0.0,2.0,67.0,32.0,300.0,573.0,1104.0,3525.0,1068.0,775.0,16.889235474006117,46971.0,250.0,2.0,21.0,53.97004514932632,30.587206482887268,9.427884817123411,2.223813831806183,8.736563324928284,1371.5696036815643,58.2133948802948,6.825084984302521,371.5457201004028,3.325444459915161,0.0702796503901481,0.5002946257591248,,,
12,2512,2512,0,0.0,0.0,2.0,69.0,36.0,368.0,370.0,1431.0,3376.0,798.0,648.0,15.552538226299694,23204.0,222.0,4.0,21.0,70.08463084697723,5.329937608912587,9.251261949539185,6.119595766067505,1.1067774146795273,1771.1081504821775,54.028940200805664,22.333841025829315,278.0317783355713,2.801086187362671,0.0344395786523819,0.6858208775520325,,,
13,4900,4900,0,0.0,0.0,3.0,33.0,25.0,323.0,430.0,1280.0,2910.0,1365.0,849.0,17.171743119266054,46129.0,251.0,2.0,23.0,56.66364014148712,44.86104309558869,6.765995621681213,8.53067934513092,1.1735307425260544,1202.2038102149963,67.46360063552856,50.67310929298401,377.0630955696106,3.910820484161377,0.8689016699790955,0.8546104431152344,,,
14,4392,4392,0,0.0,0.0,3.0,36.0,18.0,217.0,491.0,999.0,2842.0,1104.0,812.0,17.062996941896024,51831.0,286.0,4.0,23.0,49.042381942272186,46.6616153717041,9.458734393119812,4.001498520374298,8.91663134098053,1448.0911791324615,49.82242286205292,17.835436761379242,235.3873699903488,3.2880783081054688,0.3900181651115417,0.8773108124732971,,,
15,2343,2343,0,0.0,0.0,3.0,37.0,56.0,273.0,406.0,1159.0,3486.0,1229.0,805.0,16.861590214067277,40431.0,283.0,0.0,21.0,68.65557134151459,32.3081573843956,7.749245762825012,1.1021147668361664,3.353171646595001,1779.3543338775637,4.483446851372719,27.889513969421387,395.7464456558228,2.1777045726776123,0.0640987232327461,0.3148644268512726,,,
16,1741,1741,0,0.0,0.0,3.0,38.0,26.0,289.0,452.0,1068.0,3441.0,1041.0,812.0,16.540428134556574,46529.0,251.0,2.0,23.0,61.16888761520386,38.35706174373627,8.267080783843994,6.727937459945679,2.335784286260605,1987.056195735932,72.12079167366028,91.95548295974731,209.77897197008133,1.4472410678863523,0.0487247034907341,0.9024245142936708,,,
17,3548,3548,0,0.0,0.0,3.0,38.0,37.0,271.0,607.0,1154.0,3329.0,1112.0,790.0,16.455290519877675,35677.0,221.0,1.0,23.0,43.75547170639038,47.04981416463852,8.64953339099884,5.774797201156616,4.397251904010773,1820.993185043335,31.30030632019043,66.68984889984131,260.1620674133301,2.985229969024658,0.2838342189788818,0.6135623455047607,,,
18,2835,2835,0,0.0,0.0,3.0,39.0,8.0,290.0,321.0,1440.0,2805.0,974.0,773.0,16.65192660550459,54836.0,222.0,2.0,20.0,69.63974893093109,11.578610464930534,8.463975191116333,1.7509159445762634,3.241618275642395,1266.3459479808807,35.47459840774536,56.11945986747742,212.44287639856336,3.487401962280273,0.5081763863563538,0.8381705284118652,,,
19,4076,4076,0,0.0,0.0,3.0,41.0,32.0,339.0,489.0,859.0,3782.0,1116.0,757.0,16.732415902140673,41355.0,211.0,1.0,21.0,32.47719317674637,29.91712898015976,7.4515557289123535,6.085018515586853,4.339111745357513,1771.0092663764954,10.461193323135376,48.37006032466888,218.4162214398384,2.74872088432312,0.4232169985771179,0.2093942314386367,,,
20,4652,4652,0,0.0,0.0,3.0,46.0,18.0,277.0,355.0,1335.0,2960.0,1148.0,727.0,16.65278287461774,48645.0,286.0,4.0,23.0,44.699788987636566,39.92408871650696,6.817505955696106,2.117406725883484,0.7761824876070023,1785.5671644210815,18.09005439281464,85.26743650436401,297.3500907421112,3.24329161643982,0.6270156502723694,0.2620616257190704,,,
