rank,_row_id,Unnamed: 0,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file,overlap,idle_time
1,2194,2194,1,0.0,2.0,3.0,22.0,8.0,234.0,404.0,773.0,3151.0,1073.0,866.0,17.37834862385321,51188.0,268.0,2.0,21.0,87.11996793746948,38.82298022508621,8.629481792449951,1.7059387266635897,6.686840057373047,1860.0364327430725,86.26410961151123,70.38677930831909,214.38045352697367,3.766618013381958,0.4965476095676422,0.6807734370231628,,,
2,4719,4719,1,0.0,2.0,3.0,30.0,14.0,227.0,368.0,851.0,2924.0,1051.0,776.0,17.037859327217124,51521.0,268.0,2.0,21.0,99.09368693828584,27.754254639148712,6.265356540679932,1.6009251773357391,5.140211582183838,1744.7607517242432,65.35049676895142,94.42167282104492,216.8355882167816,2.3944482803344727,0.4554088115692138,0.6631761789321899,,,
3,704,704,1,0.0,1.0,8.0,23.0,14.0,274.0,360.0,1178.0,2317.0,759.0,686.0,15.975045871559631,34824.0,268.0,2.0,21.0,95.75682044029236,16.802915930747986,2.638351023197174,7.973239421844482,1.9778753817081447,1437.250405550003,76.11929774284363,12.41924688220024,226.24215483665463,0.8324883580207825,0.4949421286582947,0.7911043167114258,,,
4,3703,3703,1,0.0,0.0,6.0,34.0,13.0,310.0,555.0,941.0,2804.0,836.0,690.0,16.30948012232416,34086.0,268.0,2.0,21.0,97.39392817020416,8.081426993012428,1.2235737591981888,4.147008955478668,8.560437560081482,1998.3336925506592,6.625461578369141,60.93366742134094,207.0647671818733,0.9877455830574036,0.6512083411216736,0.626197874546051,,,
5,2139,2139,1,0.0,0.0,6.0,34.0,13.0,310.0,555.0,941.0,2804.0,836.0,690.0,16.30948012232416,34086.0,268.0,2.0,21.0,97.39392817020416,8.081426993012428,1.2235737591981888,4.147008955478668,8.560437560081482,1998.3336925506592,6.625461578369141,60.93366742134094,207.0647671818733,0.9877455830574036,0.6512083411216736,0.626197874546051,20250619_072545i379fl_test-c1d4d725611992e5f90c0afc1c8c1de3.csv,,
6,3615,3615,0,0.0,1.0,7.0,34.0,12.0,259.0,425.0,1711.0,2223.0,898.0,727.0,16.316941896024463,37403.0,222.0,2.0,20.0,98.24468731880188,5.227315621450543,7.707319855690002,1.035429164767265,4.544445276260376,1275.3494381904602,39.886364340782166,15.706755220890043,325.1946806907654,1.285549879074097,0.50224769115448,0.6752207279205322,,,
7,556,556,1,0.0,4.0,2.0,27.0,14.0,239.0,379.0,1639.0,2401.0,896.0,713.0,16.639571865443425,40496.0,203.0,3.0,20.0,62.05419898033142,7.541601415723562,3.838019073009491,8.779415488243103,7.660509347915649,1764.442801475525,42.89253056049347,40.41922986507416,345.0587034225464,3.109735012054444,0.6273221373558044,0.7203367948532104,,,
8,71,71,1,0.0,3.0,3.0,24.0,14.0,230.0,427.0,757.0,2926.0,973.0,834.0,16.783180428134557,43155.0,268.0,2.0,21.0,70.3106015920639,35.88104754686356,5.722354054450989,9.65209662914276,6.148827075958252,1198.157548904419,88.9031171798706,97.44826555252077,226.1152744293213,2.2197961807250977,0.5808600187301636,0.0126412119716405,,,
9,4467,4467,1,0.0,1.0,6.0,22.0,12.0,294.0,324.0,1284.0,3298.0,1232.0,691.0,16.791804281345566,37576.0,208.0,5.0,20.0,57.68594801425934,9.980689473450184,7.692326307296753,3.583583533763885,5.885441899299622,1644.1474556922913,32.47927129268646,11.064891517162325,343.9902901649475,3.0366225242614746,0.4810725450515747,0.1918482184410095,,,
10,2043,2043,0,0.0,2.0,1.0,32.0,10.0,386.0,768.0,758.0,3651.0,981.0,679.0,15.94605504587156,30337.0,275.0,1.0,20.0,94.3014270067215,5.411919914186001,0.052051106467843,0.5662720277905464,2.553441226482392,1943.705558776856,79.71640825271606,37.323787808418274,283.3366394042969,3.9347984790802,0.0344705283641815,0.883825421333313,20250619_072545i283fl_test-51f7845c32253a749f3d3aa3cb879450.csv,,
11,2650,2650,0,0.0,2.0,1.0,32.0,10.0,386.0,768.0,758.0,3651.0,981.0,679.0,15.94605504587156,30337.0,275.0,1.0,20.0,94.3014270067215,5.411919914186001,0.052051106467843,0.5662720277905464,2.553441226482392,1943.7055587768557,79.71640825271606,37.323787808418274,283.3366394042969,3.9347984790802,0.0344705283641815,0.883825421333313,,,
