,unique_id,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min,meets_requirements
0,ORD_JFK0,Delta,ORD,JFK,"6:20 PM on Sat, Oct 11","10:00 PM on Sat, Oct 11",2 hr 40 min,0,152,0.2460643477547049,0.3561336485756944,1900-10-11 18:20:00,3522000.0,1900-10-11 22:00:00,3535200.0,160,1
1,ORD_JFK1,Frontier,ORD,JFK,"6:40 AM on Sat, Oct 11","10:03 AM on Sat, Oct 11",2 hr 23 min,0,153,0.2460643477547049,0.3561336485756944,1900-10-11 06:40:00,3480000.0,1900-10-11 10:03:00,3492180.0,143,1
2,ORD_JFK2,American,ORD,JFK,"1:40 PM on Sat, Oct 11","4:59 PM on Sat, Oct 11",2 hr 19 min,0,195,0.2460643477547049,0.3561336485756944,1900-10-11 13:40:00,3505200.0,1900-10-11 16:59:00,3517140.0,139,1
3,ORD_JFK3,Delta,ORD,JFK,"1:08 PM on Sat, Oct 11","4:35 PM on Sat, Oct 11",2 hr 27 min,0,204,0.2460643477547049,0.3561336485756944,1900-10-11 13:08:00,3503280.0,1900-10-11 16:35:00,3515700.0,147,1
4,ORD_JFK4,Frontier,ORD,JFK,"5:45 PM on Sat, Oct 11","12:33 AM on Sun, Oct 12",5 hr 48 min,1,127,0.2460643477547049,0.3561336485756944,1900-10-11 17:45:00,3519900.0,1900-10-12 00:33:00,3544380.0,348,1
5,ORD_JFK5,Delta,ORD,JFK,"7:00 AM on Sat, Oct 11","10:25 AM on Sat, Oct 11",2 hr 25 min,0,204,0.2460643477547049,0.3561336485756944,1900-10-11 07:00:00,3481200.0,1900-10-11 10:25:00,3493500.0,145,1
6,ORD_JFK6,Delta,ORD,JFK,"10:36 AM on Sat, Oct 11","1:59 PM on Sat, Oct 11",2 hr 23 min,0,204,0.2460643477547049,0.3561336485756944,1900-10-11 10:36:00,3494160.0,1900-10-11 13:59:00,3506340.0,143,1
7,ORD_JFK7,JetBlue,ORD,JFK,"8:34 AM on Sat, Oct 11","12:01 PM on Sat, Oct 11",2 hr 27 min,0,210,0.2460643477547049,0.3561336485756944,1900-10-11 08:34:00,3486840.0,1900-10-11 12:01:00,3499260.0,147,1
8,ORD_JFK8,American,ORD,JFK,"5:20 AM on Sat, Oct 11","1:35 PM on Sat, Oct 11",7 hr 15 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 05:20:00,3475200.0,1900-10-11 13:35:00,3504900.0,435,1
9,ORD_JFK9,American,ORD,JFK,"7:09 AM on Sat, Oct 11","2:32 PM on Sat, Oct 11",6 hr 23 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 07:09:00,3481740.0,1900-10-11 14:32:00,3508320.0,383,1
10,ORD_JFK10,American,ORD,JFK,"7:10 AM on Sat, Oct 11","1:35 PM on Sat, Oct 11",5 hr 25 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 07:10:00,3481800.0,1900-10-11 13:35:00,3504900.0,325,1
11,ORD_JFK11,American,ORD,JFK,"7:10 AM on Sat, Oct 11","2:59 PM on Sat, Oct 11",6 hr 49 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 07:10:00,3481800.0,1900-10-11 14:59:00,3509940.0,409,1
12,ORD_JFK12,American,ORD,JFK,"8:15 AM on Sat, Oct 11","2:59 PM on Sat, Oct 11",5 hr 44 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 08:15:00,3485700.0,1900-10-11 14:59:00,3509940.0,344,1
13,ORD_JFK13,American,ORD,JFK,"8:15 AM on Sat, Oct 11","4:18 PM on Sat, Oct 11",7 hr 3 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 08:15:00,3485700.0,1900-10-11 16:18:00,3514680.0,423,1
14,ORD_JFK14,American,ORD,JFK,"9:10 AM on Sat, Oct 11","2:59 PM on Sat, Oct 11",4 hr 49 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 09:10:00,3489000.0,1900-10-11 14:59:00,3509940.0,289,1
15,ORD_JFK15,American,ORD,JFK,"9:10 AM on Sat, Oct 11","4:18 PM on Sat, Oct 11",6 hr 8 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 09:10:00,3489000.0,1900-10-11 16:18:00,3514680.0,368,1
16,ORD_JFK16,American,ORD,JFK,"12:51 PM on Sat, Oct 11","8:00 PM on Sat, Oct 11",6 hr 9 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 12:51:00,3502260.0,1900-10-11 20:00:00,3528000.0,369,1
17,ORD_JFK17,American,ORD,JFK,"4:58 PM on Sat, Oct 11","10:29 PM on Sat, Oct 11",4 hr 31 min,1,220,0.2460643477547049,0.3561336485756944,1900-10-11 16:58:00,3517080.0,1900-10-11 22:29:00,3536940.0,271,1
18,ORD_JFK18,American,ORD,JFK,"4:28 PM on Sat, Oct 11","8:00 PM on Sat, Oct 11",2 hr 32 min,0,229,0.2460643477547049,0.3561336485756944,1900-10-11 16:28:00,3515280.0,1900-10-11 20:00:00,3528000.0,152,1
19,ORD_JFK19,American,ORD,JFK,"8:56 AM on Sat, Oct 11","2:30 PM on Sat, Oct 11",4 hr 34 min,1,246,0.2460643477547049,0.3561336485756944,1900-10-11 08:56:00,3488160.0,1900-10-11 14:30:00,3508200.0,274,1
20,ORD_JFK20,American,ORD,JFK,"2:36 PM on Sat, Oct 11","10:29 PM on Sat, Oct 11",6 hr 53 min,1,246,0.2460643477547049,0.3561336485756944,1900-10-11 14:36:00,3508560.0,1900-10-11 22:29:00,3536940.0,413,1
21,ORD_JFK21,American,ORD,JFK,"3:11 PM on Sat, Oct 11","8:30 PM on Sat, Oct 11",4 hr 19 min,1,246,0.2460643477547049,0.3561336485756944,1900-10-11 15:11:00,3510660.0,1900-10-11 20:30:00,3529800.0,259,1
22,ORD_JFK22,Delta,ORD,JFK,"3:50 PM on Sat, Oct 11","11:50 PM on Sat, Oct 11",7 hr,1,255,0.2460643477547049,0.3561336485756944,1900-10-11 15:50:00,3513000.0,1900-10-11 23:50:00,3541800.0,420,1
23,ORD_JFK23,Delta,ORD,JFK,"4:09 PM on Sat, Oct 11","12:56 AM on Sun, Oct 12",7 hr 47 min,1,255,0.2460643477547049,0.3561336485756944,1900-10-11 16:09:00,3514140.0,1900-10-12 00:56:00,3545760.0,467,1
24,ORD_JFK24,Delta,ORD,JFK,"4:56 PM on Sat, Oct 11","11:18 PM on Sat, Oct 11",5 hr 22 min,1,255,0.2460643477547049,0.3561336485756944,1900-10-11 16:56:00,3516960.0,1900-10-11 23:18:00,3539880.0,322,1
25,ORD_JFK25,Delta,ORD,JFK,"5:40 PM on Sat, Oct 11","11:50 PM on Sat, Oct 11",5 hr 10 min,1,255,0.2460643477547049,0.3561336485756944,1900-10-11 17:40:00,3519600.0,1900-10-11 23:50:00,3541800.0,310,1
26,ORD_JFK26,Delta,ORD,JFK,"6:10 PM on Sat, Oct 11","12:56 AM on Sun, Oct 12",5 hr 46 min,1,255,0.2460643477547049,0.3561336485756944,1900-10-11 18:10:00,3521400.0,1900-10-12 00:56:00,3545760.0,346,1
