group,batch_size,n,mean,stderr
_all,2,40,0.114410,0.061457
_all,4,40,0.070139,0.049282
_all,8,40,0.017130,0.004536
_all,16,40,0.013079,0.004018
_all,32,40,0.009606,0.003371
