group,batch_size,n,mean,stderr
_all,2,40,0.082928,0.054311
_all,4,40,0.072685,0.049077
_all,8,40,0.014120,0.004309
_all,16,40,0.016898,0.004924
_all,32,40,0.014583,0.004799
