group,batch_size,n,mean,stderr
_all,2,40,0.471733,0.042383
_all,4,40,0.385161,0.068930
_all,8,40,0.421622,0.061049
_all,16,40,0.447176,0.052735
_all,32,40,0.397342,0.066615
