group,batch_size,n,mean,stderr
_all,2,40,0.471899,0.042195
_all,4,40,0.459441,0.048014
_all,8,40,0.434025,0.057480
_all,16,40,0.471373,0.042784
_all,32,40,0.459053,0.048388
