column,algo,section_order,n,mean_nar,two_se
"Flights Ithaca
→ Reston",tournament,"persona,priorities,attributes",40,0.0110,0.0037
"Flights Ithaca
→ Reston",tournament,"persona,attributes,priorities",40,0.0096,0.0034
"Flights Ithaca
→ Reston",tournament,"attributes,persona,priorities",40,0.0132,0.0042
"Flights Ithaca
→ Reston",tournament,"attributes,priorities,persona",40,0.0138,0.0041
"Flights Ithaca
→ Reston",tournament,"priorities,persona,attributes",40,0.0087,0.0031
"Flights Ithaca
→ Reston",tournament,"priorities,attributes,persona",40,0.0115,0.0037
"Flights Ithaca
→ Reston",utility,"persona,priorities,attributes",40,0.0079,0.0007
"Flights Ithaca
→ Reston",utility,"persona,attributes,priorities",40,0.0075,0.0007
"Flights Ithaca
→ Reston",utility,"attributes,persona,priorities",40,0.0091,0.0002
"Flights Ithaca
→ Reston",utility,"attributes,priorities,persona",40,0.0075,0.0007
"Flights Ithaca
→ Reston",utility,"priorities,persona,attributes",40,0.0082,0.0006
"Flights Ithaca
→ Reston",utility,"priorities,attributes,persona",40,0.0084,0.0006
"Flights Ithaca
→ Reston",full_batch,"persona,attributes,priorities",40,0.0850,0.0541
"Flights Ithaca
→ Reston",baseline_random,,40,0.5301,0.0000
"Flights Ithaca
→ Reston",baseline_zscore,,1,0.0370,0.0000
"Flights Ithaca
→ Reston",human_rerank,,4,0.0058,0.0023
Flights CHI->NYC,tournament,"persona,priorities,attributes",40,0.4724,0.0416
Flights CHI->NYC,tournament,"persona,attributes,priorities",40,0.3973,0.0666
Flights CHI->NYC,tournament,"attributes,persona,priorities",40,0.4222,0.0606
Flights CHI->NYC,tournament,"attributes,priorities,persona",40,0.4099,0.0638
Flights CHI->NYC,tournament,"priorities,persona,attributes",40,0.4093,0.0641
Flights CHI->NYC,tournament,"priorities,attributes,persona",40,0.4099,0.0637
Flights CHI->NYC,utility,"persona,priorities,attributes",40,0.3596,0.0733
Flights CHI->NYC,utility,"persona,attributes,priorities",40,0.4595,0.0480
Flights CHI->NYC,utility,"attributes,persona,priorities",40,0.3721,0.0714
Flights CHI->NYC,utility,"attributes,priorities,persona",40,0.3221,0.0774
Flights CHI->NYC,utility,"priorities,persona,attributes",40,0.3721,0.0714
Flights CHI->NYC,utility,"priorities,attributes,persona",40,0.3846,0.0693
Flights CHI->NYC,full_batch,"persona,attributes,priorities",40,0.4843,0.0350
Flights CHI->NYC,baseline_random,,40,0.4968,0.0253
Flights CHI->NYC,baseline_zscore,,1,0.5094,0.0000
Flights CHI->NYC,human_rerank,,4,0.5094,0.0000
Headphones,tournament,"persona,priorities,attributes",40,0.0756,0.0318
Headphones,tournament,"persona,attributes,priorities",40,0.0827,0.0156
