group,batch_size,n,mean,stderr
_all,2,40,0.501218,0.000000
_all,4,40,0.501218,0.000000
_all,8,40,0.501218,0.000000
_all,16,40,0.488702,0.025030
_all,32,40,0.488712,0.025010
