group,batch_size,n,mean,stderr
_all,2,40,0.132308,0.055232
_all,4,40,0.063462,0.011617
_all,8,40,0.111731,0.048525
_all,16,40,0.099423,0.048695
_all,32,40,0.186538,0.071706
