group,batch_size,n,mean,stderr
_all,2,40,0.152115,0.059338
_all,4,40,0.075769,0.013238
_all,8,40,0.082692,0.013878
_all,16,40,0.100000,0.040894
_all,32,40,0.082692,0.015607
