rank,_row_id,Unnamed: 0,unique_id,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min,meets_requirements
1,681,681,ORD_EWR0,United,ORD,EWR,"8:20 PM on Fri, Oct 10","11:44 PM on Fri, Oct 10",2 hr 24 min,0,119,0.2460643477547049,20.703705626728063,1900-10-10 20:20:00,3442800.0,1900-10-10 23:44:00,3455040.0,144,1
2,271,271,ORD_EWR6,United,ORD,EWR,"7:10 AM on Sat, Oct 11","10:27 AM on Sat, Oct 11",2 hr 17 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 07:10:00,3481800.0,1900-10-11 10:27:00,3493620.0,137,1
3,128,128,ORD_LGA1,Delta,ORD,LGA,"2:35 PM on Sat, Oct 11","5:51 PM on Sat, Oct 11",2 hr 16 min,0,152,0.2460643477547049,10.368604166113755,1900-10-11 14:35:00,3508500.0,1900-10-11 17:51:00,3520260.0,136,1
4,1,1,ORD_JFK1,Frontier,ORD,JFK,"6:40 AM on Sat, Oct 11","10:03 AM on Sat, Oct 11",2 hr 23 min,0,153,0.2460643477547049,0.3561336485756944,1900-10-11 06:40:00,3480000.0,1900-10-11 10:03:00,3492180.0,143,1
5,134,134,ORD_LGA7,Spirit,ORD,LGA,"11:12 AM on Sat, Oct 11","2:07 PM on Sat, Oct 11",1 hr 55 min,0,175,0.2460643477547049,10.368604166113755,1900-10-11 11:12:00,3496320.0,1900-10-11 14:07:00,3506820.0,115,1
6,276,276,ORD_EWR11,United,ORD,EWR,"6:00 AM on Sat, Oct 11","9:15 AM on Sat, Oct 11",2 hr 15 min,0,173,0.2460643477547049,20.703705626728063,1900-10-11 06:00:00,3477600.0,1900-10-11 09:15:00,3489300.0,135,1
7,4,4,ORD_JFK4,Frontier,ORD,JFK,"5:45 PM on Sat, Oct 11","12:33 AM on Sun, Oct 12",5 hr 48 min,1,127,0.2460643477547049,0.3561336485756944,1900-10-11 17:45:00,3519900.0,1900-10-12 00:33:00,3544380.0,348,1
8,127,127,ORD_LGA0,United,ORD,LGA,"5:00 PM on Sat, Oct 11","8:17 PM on Sat, Oct 11",2 hr 17 min,0,144,0.2460643477547049,10.368604166113755,1900-10-11 17:00:00,3517200.0,1900-10-11 20:17:00,3529020.0,137,1
9,268,268,ORD_EWR3,Frontier,ORD,EWR,"5:45 PM on Sat, Oct 11","1:06 AM on Sun, Oct 12",6 hr 21 min,1,124,0.2460643477547049,20.703705626728063,1900-10-11 17:45:00,3519900.0,1900-10-12 01:06:00,3546360.0,381,1
10,129,129,ORD_LGA2,American,ORD,LGA,"4:48 PM on Sat, Oct 11","7:59 PM on Sat, Oct 11",2 hr 11 min,0,152,0.2460643477547049,10.368604166113755,1900-10-11 16:48:00,3516480.0,1900-10-11 19:59:00,3527940.0,131,1
11,130,130,ORD_LGA3,United,ORD,LGA,"6:30 PM on Sat, Oct 11","9:54 PM on Sat, Oct 11",2 hr 24 min,0,144,0.2460643477547049,10.368604166113755,1900-10-11 18:30:00,3522600.0,1900-10-11 21:54:00,3534840.0,144,1
12,131,131,ORD_LGA4,Delta,ORD,LGA,"5:50 PM on Sat, Oct 11","9:03 PM on Sat, Oct 11",2 hr 13 min,0,152,0.2460643477547049,10.368604166113755,1900-10-11 17:50:00,3520200.0,1900-10-11 21:03:00,3531780.0,133,1
13,265,265,ORD_EWR0,United,ORD,EWR,"5:05 PM on Sat, Oct 11","8:32 PM on Sat, Oct 11",2 hr 27 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 17:05:00,3517500.0,1900-10-11 20:32:00,3529920.0,147,1
14,275,275,ORD_EWR10,United,ORD,EWR,"6:05 PM on Sat, Oct 11","9:33 PM on Sat, Oct 11",2 hr 28 min,0,171,0.2460643477547049,20.703705626728063,1900-10-11 18:05:00,3521100.0,1900-10-11 21:33:00,3533580.0,148,1
15,0,0,ORD_JFK0,Delta,ORD,JFK,"6:20 PM on Sat, Oct 11","10:00 PM on Sat, Oct 11",2 hr 40 min,0,152,0.2460643477547049,0.3561336485756944,1900-10-11 18:20:00,3522000.0,1900-10-11 22:00:00,3535200.0,160,1
16,266,266,ORD_EWR1,American,ORD,EWR,"7:00 PM on Sat, Oct 11","10:29 PM on Sat, Oct 11",2 hr 29 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 19:00:00,3524400.0,1900-10-11 22:29:00,3536940.0,149,1
17,272,272,ORD_EWR7,United,ORD,EWR,"7:35 PM on Sat, Oct 11","10:59 PM on Sat, Oct 11",2 hr 24 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 19:35:00,3526500.0,1900-10-11 22:59:00,3538740.0,144,1
18,267,267,ORD_EWR2,American,ORD,EWR,"8:35 PM on Sat, Oct 11","11:59 PM on Sat, Oct 11",2 hr 24 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 20:35:00,3530100.0,1900-10-11 23:59:00,3542340.0,144,1
19,682,682,ORD_EWR1,United,ORD,EWR,"9:23 PM on Fri, Oct 10","12:45 AM on Sat, Oct 11",2 hr 22 min,0,171,0.2460643477547049,20.703705626728063,1900-10-10 21:23:00,3446580.0,1900-10-11 00:45:00,3458700.0,142,1
20,2,2,ORD_JFK2,American,ORD,JFK,"1:40 PM on Sat, Oct 11","4:59 PM on Sat, Oct 11",2 hr 19 min,0,195,0.2460643477547049,0.3561336485756944,1900-10-11 13:40:00,3505200.0,1900-10-11 16:59:00,3517140.0,139,1
