rank,_row_id,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,unique_id,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
1,1,1,1,1,ITH_IAD2,United,ITH,IAD,"7:53 PM on Mon, Oct 20","9:15 PM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 19:53:00,4305180.0,1900-10-20 21:15:00,4310100.0,82
2,0,0,0,0,ITH_IAD1,United,ITH,IAD,"10:28 AM on Mon, Oct 20","11:50 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:50:00,4276200.0,82
3,7,7,7,7,ITH_IAD0,United,ITH,IAD,"6:10 AM on Mon, Oct 20","7:32 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 06:10:00,4255800.0,1900-10-20 07:32:00,4260720.0,82
4,5,5,5,5,SYR_IAD0,United,SYR,IAD,"7:45 PM on Mon, Oct 20","9:10 PM on Mon, Oct 20",1 hr 25 min,0.0,204.0,49.09457496460707,5.410058604672028,1900-10-20 19:45:00,4304700.0,1900-10-20 21:10:00,4309800.0,85
5,2,2,2,2,SYR_IAD1,United,SYR,IAD,"2:50 PM on Mon, Oct 20","4:16 PM on Mon, Oct 20",1 hr 26 min,0.0,235.0,49.09457496460707,5.410058604672028,1900-10-20 14:50:00,4287000.0,1900-10-20 16:16:00,4292160.0,86
6,3,3,3,3,SYR_IAD23,United,SYR,IAD,"10:28 AM on Mon, Oct 20","11:55 AM on Mon, Oct 20",1 hr 27 min,0.0,267.0,49.09457496460707,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:55:00,4276500.0,87
7,4,4,4,4,SYR_DCA0,American,SYR,DCA,"5:37 PM on Mon, Oct 20","6:59 PM on Mon, Oct 20",1 hr 22 min,0.0,204.0,49.09457496460707,18.712439121823177,1900-10-20 17:37:00,4297020.0,1900-10-20 18:59:00,4301940.0,82
8,9,9,9,9,SYR_IAD2,United,SYR,IAD,"6:10 AM on Mon, Oct 20","7:35 AM on Mon, Oct 20",1 hr 25 min,0.0,236.0,49.09457496460707,5.410058604672028,1900-10-20 06:10:00,4255800.0,1900-10-20 07:35:00,4260900.0,85
9,10,10,10,10,SYR_DCA112,American,SYR,DCA,"11:50 AM on Mon, Oct 20","1:11 PM on Mon, Oct 20",1 hr 21 min,0.0,517.0,49.09457496460707,18.712439121823177,1900-10-20 11:50:00,4276200.0,1900-10-20 13:11:00,4281060.0,81
10,11,11,11,11,SYR_DCA100,American,SYR,DCA,"6:00 AM on Mon, Oct 20","7:29 AM on Mon, Oct 20",1 hr 29 min,0.0,430.0,49.09457496460707,18.712439121823177,1900-10-20 06:00:00,4255200.0,1900-10-20 07:29:00,4260540.0,89
11,203,203,203,203,SYR_DCA107,American,SYR,DCA,"6:09 AM on Mon, Oct 20","9:29 AM on Mon, Oct 20",3 hr 20 min,1.0,481.0,49.09457496460707,18.712439121823177,1900-10-20 06:09:00,4255740.0,1900-10-20 09:29:00,4267740.0,200
12,125,125,125,125,SYR_DCA21,United,SYR,DCA,"6:00 AM on Mon, Oct 20","9:58 AM on Mon, Oct 20",3 hr 58 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 06:00:00,4255200.0,1900-10-20 09:58:00,4269480.0,238
13,105,105,105,105,SYR_DCA1,United,SYR,DCA,"11:03 AM on Mon, Oct 20","3:22 PM on Mon, Oct 20",4 hr 19 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 11:03:00,4273380.0,1900-10-20 15:22:00,4288920.0,259
14,6,6,6,6,ITH_DCA1,Delta,ITH,DCA,"2:05 PM on Mon, Oct 20","6:00 PM on Mon, Oct 20",3 hr 55 min,1.0,214.0,2.7076716238688823,18.712439121823177,1900-10-20 14:05:00,4284300.0,1900-10-20 18:00:00,4298400.0,235
15,138,138,138,138,SYR_DCA34,Delta,SYR,DCA,"5:00 PM on Mon, Oct 20","8:59 PM on Mon, Oct 20",3 hr 59 min,1.0,230.0,49.09457496460707,18.712439121823177,1900-10-20 17:00:00,4294800.0,1900-10-20 20:59:00,4309140.0,239
16,12,12,12,12,SYR_DCA103,Delta,SYR,DCA,"12:17 PM on Mon, Oct 20","4:12 PM on Mon, Oct 20",3 hr 55 min,1.0,460.0,49.09457496460707,18.712439121823177,1900-10-20 12:17:00,4277820.0,1900-10-20 16:12:00,4291920.0,235
17,209,209,209,209,SYR_DCA114,American,SYR,DCA,"12:45 PM on Mon, Oct 20","5:03 PM on Mon, Oct 20",4 hr 18 min,1.0,527.0,49.09457496460707,18.712439121823177,1900-10-20 12:45:00,4279500.0,1900-10-20 17:03:00,4294980.0,258
18,211,211,211,211,SYR_DCA116,American,SYR,DCA,"1:44 PM on Mon, Oct 20","5:56 PM on Mon, Oct 20",4 hr 12 min,1.0,527.0,49.09457496460707,18.712439121823177,1900-10-20 13:44:00,4283040.0,1900-10-20 17:56:00,4298160.0,252
19,212,212,212,212,SYR_DCA117,Delta,SYR,DCA,"6:14 AM on Mon, Oct 20","10:15 AM on Mon, Oct 20",4 hr 1 min,1.0,550.0,49.09457496460707,18.712439121823177,1900-10-20 06:14:00,4256040.0,1900-10-20 10:15:00,4270500.0,241
20,170,170,170,170,SYR_DCA70,JetBlue,SYR,DCA,"6:00 AM on Mon, Oct 20","10:06 AM on Mon, Oct 20",4 hr 6 min,1.0,362.0,49.09457496460707,18.712439121823177,1900-10-20 06:00:00,4255200.0,1900-10-20 10:06:00,4269960.0,246
