rank,_row_id,Unnamed: 0,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file,overlap,idle_time
11,4214,4214,1,0.0,1.0,2.0,28.0,30.0,300.0,369.0,828.0,3423.0,1315.0,904.0,17.443180428134557,48723.0,273.0,2.0,20.0,15.898220539093018,38.84338915348053,4.763425588607788,1.2786085903644562,4.52142208814621,1765.56795835495,69.33481097221375,69.93138194084167,307.8994035720825,3.968651533126831,0.4565380811691284,0.2309341579675674,,,
12,3623,3623,0,0.0,1.0,2.0,32.0,22.0,374.0,574.0,1186.0,3105.0,1081.0,715.0,16.67033639143731,35882.0,251.0,0.0,21.0,71.8294507265091,23.0198821425438,4.696758985519409,0.0513558834791183,8.272196054458618,1528.9932489395142,9.497706592082976,8.589893579483032,304.2825579643249,2.556556940078736,0.6739110946655273,0.5441032648086548,,,
13,2599,2599,0,0.0,1.0,0.0,34.0,34.0,323.0,186.0,1358.0,3215.0,1234.0,848.0,16.751559633027522,38521.0,275.0,1.0,20.0,66.82090282440186,9.380928426980972,1.0068309307098389,8.826865553855896,5.706912279129028,1920.7356572151184,92.83061027526855,15.369054675102234,354.81836795806885,2.3990702629089355,0.0675505995750427,0.2072971910238266,,,
14,3427,3427,0,0.0,1.0,2.0,35.0,16.0,255.0,395.0,1343.0,2746.0,1076.0,791.0,16.738470948012232,51794.0,286.0,4.0,23.0,68.46930801868439,33.29939991235733,0.405416376888752,4.050815999507904,1.705600768327713,1291.269063949585,86.9352638721466,13.094393908977509,221.50152176618576,2.487201452255249,0.8167304396629333,0.7222769856452942,,,
15,1482,1482,0,0.0,1.0,2.0,35.0,23.0,253.0,541.0,1046.0,3066.0,959.0,802.0,16.80330275229358,46938.0,293.0,0.0,22.0,75.78574657440186,14.959327727556229,9.495022892951964,6.122767329216003,7.028195858001709,1244.265466928482,94.81314420700072,7.502821087837219,257.7181875705719,3.5709803104400635,0.8719800710678101,0.2214077860116958,,,
16,2916,2916,0,0.0,0.0,2.0,48.0,22.0,280.0,360.0,1061.0,3834.0,1170.0,756.0,16.715290519877676,45742.0,293.0,0.0,22.0,91.2608802318573,40.73028296232224,4.89496260881424,6.055300235748291,7.314539551734924,1893.4103846549988,99.95085597038268,80.82671761512756,227.3401647806168,3.2386398315429688,0.3499289751052856,0.5270357131958008,,,
17,4550,4550,0,0.0,0.0,2.0,56.0,27.0,271.0,605.0,1284.0,2926.0,1205.0,691.0,16.484097859327218,36905.0,286.0,4.0,23.0,16.210866197943687,28.07074725627899,5.72063684463501,0.5291562527418137,8.21077823638916,1411.4132225513458,76.2986421585083,36.60571277141571,220.54952681064609,0.7493440508842468,0.7502036094665527,0.3239993155002594,,,
18,4023,4023,0,0.0,0.0,2.0,64.0,34.0,279.0,570.0,1135.0,3351.0,1069.0,775.0,16.93577981651376,47243.0,250.0,2.0,21.0,49.95339423418045,43.74873369932175,3.9791202545166016,1.2515228986740112,7.523977160453796,1224.4458049535751,78.73194217681885,76.6631543636322,315.2410626411438,3.900391578674317,0.3236010670661926,0.9765886664390564,,,
19,1634,1634,0,0.0,0.0,2.0,67.0,32.0,300.0,573.0,1104.0,3525.0,1068.0,775.0,16.889235474006117,46971.0,250.0,2.0,21.0,53.97004514932632,30.587206482887268,9.427884817123411,2.223813831806183,8.736563324928284,1371.5696036815643,58.2133948802948,6.825084984302521,371.5457201004028,3.325444459915161,0.0702796503901481,0.5002946257591248,,,
20,2512,2512,0,0.0,0.0,2.0,69.0,36.0,368.0,370.0,1431.0,3376.0,798.0,648.0,15.552538226299694,23204.0,222.0,4.0,21.0,70.08463084697723,5.329937608912587,9.251261949539185,6.119595766067505,1.1067774146795273,1771.1081504821775,54.028940200805664,22.333841025829315,278.0317783355713,2.801086187362671,0.0344395786523819,0.6858208775520325,,,
