rank,_row_id,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,unique_id,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
11,59,59,59,59,59,59,59,SYR_IAD52,United,SYR,IAD,"10:40 AM on Mon, Oct 20","3:57 PM on Mon, Oct 20",5 hr 17 min,1.0,410.0,49.09457496460707,5.410058604672028,1900-10-20 10:40:00,4272000.0,1900-10-20 15:57:00,4291020.0,317
12,193,193,193,193,193,193,193,SYR_DCA94,United,SYR,DCA,"12:39 PM on Mon, Oct 20","6:03 PM on Mon, Oct 20",5 hr 24 min,1.0,410.0,49.09457496460707,18.712439121823177,1900-10-20 12:39:00,4279140.0,1900-10-20 18:03:00,4298580.0,324
13,211,211,211,211,211,211,211,SYR_DCA116,American,SYR,DCA,"1:44 PM on Mon, Oct 20","5:56 PM on Mon, Oct 20",4 hr 12 min,1.0,527.0,49.09457496460707,18.712439121823177,1900-10-20 13:44:00,4283040.0,1900-10-20 17:56:00,4298160.0,252
14,209,209,209,209,209,209,209,SYR_DCA114,American,SYR,DCA,"12:45 PM on Mon, Oct 20","5:03 PM on Mon, Oct 20",4 hr 18 min,1.0,527.0,49.09457496460707,18.712439121823177,1900-10-20 12:45:00,4279500.0,1900-10-20 17:03:00,4294980.0,258
15,208,208,208,208,208,208,208,SYR_DCA113,American,SYR,DCA,"11:28 AM on Mon, Oct 20","3:59 PM on Mon, Oct 20",4 hr 31 min,1.0,527.0,49.09457496460707,18.712439121823177,1900-10-20 11:28:00,4274880.0,1900-10-20 15:59:00,4291140.0,271
16,205,205,205,205,205,205,205,SYR_DCA109,American,SYR,DCA,"11:27 AM on Mon, Oct 20","4:13 PM on Mon, Oct 20",4 hr 46 min,1.0,500.0,49.09457496460707,18.712439121823177,1900-10-20 11:27:00,4274820.0,1900-10-20 16:13:00,4291980.0,286
17,182,182,182,182,182,182,182,SYR_DCA83,Delta,SYR,DCA,"1:00 PM on Mon, Oct 20","6:59 PM on Mon, Oct 20",5 hr 59 min,1.0,390.0,49.09457496460707,18.712439121823177,1900-10-20 13:00:00,4280400.0,1900-10-20 18:59:00,4301940.0,359
18,129,129,129,129,129,129,129,SYR_DCA25,American,SYR,DCA,"1:44 PM on Mon, Oct 20","7:59 PM on Mon, Oct 20",6 hr 15 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 13:44:00,4283040.0,1900-10-20 19:59:00,4305540.0,375
19,194,194,194,194,194,194,194,SYR_DCA95,United,SYR,DCA,"12:39 PM on Mon, Oct 20","7:03 PM on Mon, Oct 20",6 hr 24 min,1.0,410.0,49.09457496460707,18.712439121823177,1900-10-20 12:39:00,4279140.0,1900-10-20 19:03:00,4302180.0,384
20,191,191,191,191,191,191,191,SYR_DCA92,United,SYR,DCA,"10:40 AM on Mon, Oct 20","5:01 PM on Mon, Oct 20",6 hr 21 min,1.0,410.0,49.09457496460707,18.712439121823177,1900-10-20 10:40:00,4272000.0,1900-10-20 17:01:00,4294860.0,381
