rank,_row_id,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,unique_id,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
1,0,0,0,0,0,0,0,ITH_IAD1,United,ITH,IAD,"10:28 AM on Mon, Oct 20","11:50 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:50:00,4276200.0,82
2,6,6,6,6,6,6,6,ITH_DCA1,Delta,ITH,DCA,"2:05 PM on Mon, Oct 20","6:00 PM on Mon, Oct 20",3 hr 55 min,1.0,214.0,2.7076716238688823,18.712439121823177,1900-10-20 14:05:00,4284300.0,1900-10-20 18:00:00,4298400.0,235
3,8,8,8,8,8,8,8,ITH_IAD4,Delta,ITH,IAD,"2:05 PM on Mon, Oct 20","7:18 PM on Mon, Oct 20",5 hr 13 min,1.0,214.0,2.7076716238688823,5.410058604672028,1900-10-20 14:05:00,4284300.0,1900-10-20 19:18:00,4303080.0,313
4,3,3,3,3,3,3,3,SYR_IAD23,United,SYR,IAD,"10:28 AM on Mon, Oct 20","11:55 AM on Mon, Oct 20",1 hr 27 min,0.0,267.0,49.09457496460707,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:55:00,4276500.0,87
5,10,10,10,10,10,10,10,SYR_DCA112,American,SYR,DCA,"11:50 AM on Mon, Oct 20","1:11 PM on Mon, Oct 20",1 hr 21 min,0.0,517.0,49.09457496460707,18.712439121823177,1900-10-20 11:50:00,4276200.0,1900-10-20 13:11:00,4281060.0,81
6,105,105,105,105,105,105,105,SYR_DCA1,United,SYR,DCA,"11:03 AM on Mon, Oct 20","3:22 PM on Mon, Oct 20",4 hr 19 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 11:03:00,4273380.0,1900-10-20 15:22:00,4288920.0,259
7,33,33,33,33,33,33,33,SYR_IAD18,United,SYR,IAD,"11:03 AM on Mon, Oct 20","4:05 PM on Mon, Oct 20",5 hr 2 min,1.0,245.0,49.09457496460707,5.410058604672028,1900-10-20 11:03:00,4273380.0,1900-10-20 16:05:00,4291500.0,302
8,127,127,127,127,127,127,127,SYR_DCA23,United,SYR,DCA,"11:03 AM on Mon, Oct 20","4:22 PM on Mon, Oct 20",5 hr 19 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 11:03:00,4273380.0,1900-10-20 16:22:00,4292520.0,319
9,12,12,12,12,12,12,12,SYR_DCA103,Delta,SYR,DCA,"12:17 PM on Mon, Oct 20","4:12 PM on Mon, Oct 20",3 hr 55 min,1.0,460.0,49.09457496460707,18.712439121823177,1900-10-20 12:17:00,4277820.0,1900-10-20 16:12:00,4291920.0,235
10,190,190,190,190,190,190,190,SYR_DCA91,United,SYR,DCA,"10:40 AM on Mon, Oct 20","3:51 PM on Mon, Oct 20",5 hr 11 min,1.0,410.0,49.09457496460707,18.712439121823177,1900-10-20 10:40:00,4272000.0,1900-10-20 15:51:00,4290660.0,311
